大白菜,0.4,0.43,0.45,2021-09-11 00:00:00
娃娃菜,0.6,0.7,0.8,2021-09-11 00:00:00
小白菜,0.8,1.0,1.2,2021-09-11 00:00:00
圆白菜,0.6,0.8,1.0,2021-09-11 00:00:00
紫甘蓝,0.6,0.65,0.7,2021-09-11 00:00:00
芹菜,0.9,1.2,1.5,2021-09-11 00:00:00
西芹,1.5,1.6,1.7,2021-09-11 00:00:00
菠菜,1.2,1.5,1.8,2021-09-11 00:00:00
莴笋,1.0,1.5,2.0,2021-09-11 00:00:00
团生菜,1.0,1.5,2.0,2021-09-11 00:00:00
散叶生菜,2.0,2.4,2.8,2021-09-11 00:00:00
罗马生菜,3.0,3.5,4.0,2021-09-11 00:00:00
油菜,1.5,2.0,2.5,2021-09-11 00:00:00
香菜,2.0,2.5,3.0,2021-09-11 00:00:00
茴香,2.0,2.25,2.5,2021-09-11 00:00:00
韭菜,1.0,1.25,1.5,2021-09-11 00:00:00
韭菜苔,5.0,5.5,6.0,2021-09-11 00:00:00
苦菊,1.3,1.55,1.8,2021-09-11 00:00:00
油麦菜,3.0,3.25,3.5,2021-09-11 00:00:00
散菜花,1.5,1.85,2.2,2021-09-11 00:00:00
