肖申克的救赎,1994,9.7,2443576人评价
霸王别姬,1993,9.6,1816537人评价
阿甘正传,1994,9.5,1837194人评价
这个杀手不太冷,1994,9.4,2002645人评价
泰坦尼克号,1997,9.4,1799019人评价
美丽人生,1997,9.6,1125857人评价
千与千寻,2001,9.4,1917774人评价
辛德勒的名单,1993,9.5,937697人评价
盗梦空间,2010,9.3,1766565人评价
忠犬八公的故事,2009,9.4,1214816人评价
星际穿越,2014,9.3,1440555人评价
楚门的世界,1998,9.3,1362860人评价
海上钢琴师,1998,9.3,1435980人评价
三傻大闹宝莱坞,2009,9.2,1609786人评价
机器人总动员,2008,9.3,1133203人评价
放牛班的春天,2004,9.3,1118220人评价
无间道,2002,9.3,1103243人评价
疯狂动物城,2016,9.2,1594547人评价
大话西游之大圣娶亲,1995,9.2,1308145人评价
熔炉,2011,9.3,793115人评价
教父,1972,9.3,797549人评价
当幸福来敲门,2006,9.1,1296837人评价
龙猫,1988,9.2,1084028人评价
怦然心动,2010,9.1,1546622人评价
控方证人,1957,9.6,393460人评价
肖申克的救赎,1994,9.7,2443576人评价
霸王别姬,1993,9.6,1816537人评价
阿甘正传,1994,9.5,1837194人评价
这个杀手不太冷,1994,9.4,2002645人评价
泰坦尼克号,1997,9.4,1799019人评价
美丽人生,1997,9.6,1125857人评价
千与千寻,2001,9.4,1917774人评价
辛德勒的名单,1993,9.5,937697人评价
盗梦空间,2010,9.3,1766565人评价
忠犬八公的故事,2009,9.4,1214816人评价
星际穿越,2014,9.3,1440556人评价
楚门的世界,1998,9.3,1362860人评价
海上钢琴师,1998,9.3,1435980人评价
三傻大闹宝莱坞,2009,9.2,1609786人评价
机器人总动员,2008,9.3,1133203人评价
放牛班的春天,2004,9.3,1118220人评价
无间道,2002,9.3,1103243人评价
疯狂动物城,2016,9.2,1594547人评价
大话西游之大圣娶亲,1995,9.2,1308145人评价
熔炉,2011,9.3,793115人评价
教父,1972,9.3,797549人评价
当幸福来敲门,2006,9.1,1296837人评价
龙猫,1988,9.2,1084028人评价
怦然心动,2010,9.1,1546622人评价
控方证人,1957,9.6,393460人评价
触不可及,2011,9.3,863515人评价
末代皇帝,1987,9.3,698644人评价
蝙蝠侠：黑暗骑士,2008,9.2,887447人评价
寻梦环游记,2017,9.1,1361457人评价
活着,1994,9.3,690848人评价
指环王3：王者无敌,2003,9.3,676609人评价
哈利·波特与魔法石,2001,9.1,925004人评价
乱世佳人,1939,9.3,585692人评价
何以为家,2018,9.1,864837人评价
素媛,2013,9.3,566179人评价
飞屋环游记,2009,9.0,1130153人评价
摔跤吧！爸爸,2016,9.0,1340524人评价
十二怒汉,1957,9.4,394741人评价
哈尔的移动城堡,2004,9.1,848044人评价
少年派的奇幻漂流,2012,9.1,1174473人评价
我不是药神,2018,9.0,1781980人评价
鬼子来了,2000,9.3,523466人评价
大话西游之月光宝盒,1995,9.0,1042543人评价
天空之城,1986,9.1,707694人评价
天堂电影院,1988,9.2,584260人评价
闻香识女人,1992,9.1,730483人评价
指环王2：双塔奇兵,2002,9.2,630462人评价
罗马假日,1953,9.0,822864人评价
猫鼠游戏,2002,9.1,775298人评价
辩护人,2013,9.2,510847人评价
指环王1：护戒使者,2001,9.1,716048人评价
钢琴家,2002,9.2,480153人评价
大闹天宫,2010,8.9,1395164人评价
狮子王,1994,9.1,701039人评价
教父2,1974,9.2,448617人评价
死亡诗社,1989,9.1,589929人评价
搏击俱乐部,1999,9.0,720260人评价
黑客帝国,1999,9.1,685096人评价
海蒂和爷爷,2015,9.2,407680人评价
绿皮书,2018,8.9,1330322人评价
饮食男女,1994,9.1,504006人评价
美丽心灵,2001,9.0,644369人评价
窃听风暴,2006,9.2,475216人评价
本杰明·巴顿奇事,2008,8.9,834548人评价
两杆大烟枪,1998,9.1,512183人评价
情书,1995,8.9,857536人评价
穿条纹睡衣的男孩,2008,9.1,445037人评价
西西里的美丽传说,2000,8.9,826049人评价
看不见的客人,2016,8.8,1036558人评价
飞越疯人院,1975,9.1,482635人评价
拯救大兵瑞恩,1998,9.0,546370人评价
音乐之声,1965,9.1,507195人评价
小鞋子,1997,9.2,344316人评价
阿凡达,2009,8.8,1189778人评价
海豚湾,2009,9.3,318665人评价
致命魔术,2006,8.9,727469人评价
美国往事,1984,9.2,349367人评价
沉默的羔羊,1991,8.9,730245人评价
禁闭岛,2010,8.8,805952人评价
蝴蝶效应,2004,8.8,789604人评价
低俗小说,1994,8.9,702223人评价
心灵捕手,1997,8.9,596165人评价
布达佩斯大饭店,2014,8.9,755564人评价
哈利·波特与死亡圣器(下),2011,8.9,664159人评价
春光乍泄,1997,9.0,529417人评价
七宗罪,1995,8.8,814418人评价
摩登时代,1936,9.3,246338人评价
喜剧之王,1999,8.8,812652人评价
被嫌弃的松子的一生,2006,8.9,615648人评价
致命ID,2003,8.8,679772人评价
杀人回忆,2003,8.9,576285人评价
加勒比海盗,2003,8.8,734585人评价
剪刀手爱德华,1990,8.7,918250人评价
狩猎,2012,9.1,318283人评价
勇敢的心,1995,8.9,500652人评价
红辣椒,2006,9.0,363228人评价
请以你的名字呼唤我,2017,8.9,581491人评价
7号房的礼物,2013,8.9,461960人评价
断背山,2005,8.8,614173人评价
天使爱美丽,2001,8.7,864416人评价
功夫,2004,8.7,878942人评价
超脱,2011,8.9,431489人评价
幽灵公主,1997,8.9,453055人评价
第六感,1999,8.9,465483人评价
唐伯虎点秋香,1993,8.7,893977人评价
小森林 夏秋篇,2014,9.0,360041人评价
重庆森林,1994,8.8,672370人评价
阳光灿烂的日子,1994,8.8,524837人评价
爱在黎明破晓前,1995,8.8,536687人评价
哈利·波特与阿兹卡班的囚徒,2004,8.8,540582人评价
一一,2000,9.1,303683人评价
菊次郎的夏天,1999,8.8,491742人评价
蝙蝠侠：黑暗骑士崛起,2012,8.8,606000人评价
消失的爱人,2014,8.7,770026人评价
小森林 冬春篇,2015,9.0,321869人评价
无人知晓,2004,9.1,254658人评价
超能陆战队,2014,8.7,853693人评价
入殓师,2008,8.9,489989人评价
倩女幽魂,1987,8.7,623797人评价
侧耳倾听,1995,8.9,391003人评价
完美的世界,1993,9.1,245844人评价
爱在日落黄昏时,2004,8.9,443893人评价
借东西的小人阿莉埃蒂,2010,8.9,463026人评价
甜蜜蜜,1996,8.9,440209人评价
萤火之森,2011,8.9,440167人评价
哈利·波特与密室,2002,8.8,566305人评价
驯龙高手,2010,8.7,645586人评价
玛丽和马克思,2009,8.9,375750人评价
幸福终点站,2004,8.8,464905人评价
天书奇谭,2003,8.8,487759人评价
告白,2010,8.7,594544人评价
阳光姐妹淘,2011,8.8,525986人评价
射雕英雄传之东成西就,1993,8.7,546320人评价
怪兽电力公司,2001,8.7,556871人评价
时空恋旅人,2013,8.8,511591人评价
神偷奶爸,2010,8.6,818553人评价
恐怖直播,2013,8.7,549832人评价
傲慢与偏见,2005,8.7,662102人评价
玩具总动员3,2010,8.9,428913人评价
教父3,1990,9.0,300924人评价
釜山行,2016,8.6,998835人评价
一个叫欧维的男人决定去死,2015,8.9,359530人评价
哪吒闹海,1979,9.1,214023人评价
被解救的姜戈,2012,8.8,510186人评价
血战钢锯岭,2016,8.7,673408人评价
未麻的部屋,1997,9.0,250942人评价
七武士,1954,9.3,162499人评价
我是山姆,2001,9.0,271133人评价
头号玩家,2018,8.7,1167504人评价
喜宴,1993,8.9,289084人评价
电锯惊魂,2004,8.7,440568人评价
新世界,2013,8.9,315284人评价
风之谷,1984,8.9,313242人评价
卢旺达饭店,2004,8.9,268406人评价
上帝之城,2002,9.0,261780人评价
模仿游戏,2014,8.7,523193人评价
寄生虫,2019,8.8,1158857人评价
疯狂原始人,2013,8.7,730328人评价
三块广告牌,2017,8.7,702990人评价
花样年华,2000,8.7,491633人评价
英雄本色,1986,8.7,442194人评价
谍影重重3,2007,8.8,360375人评价
黑客帝国3：矩阵革命,2003,8.8,366330人评价
达拉斯买家俱乐部,2013,8.8,381080人评价
纵横四海,1991,8.8,349197人评价
头脑特工队,2015,8.7,503880人评价
你的名字。,2016,8.5,1173972人评价
心迷宫,2014,8.7,423019人评价
岁月神偷,2010,8.7,512600人评价
记忆碎片,2000,8.7,521104人评价
忠犬八公物语,1987,9.2,162360人评价
哈利·波特与火焰杯,2005,8.7,489959人评价
海街日记,2015,8.8,363002人评价
荒蛮故事,2014,8.8,367730人评价
惊魂记,1960,9.0,220536人评价
爆裂鼓手,2014,8.7,481012人评价
真爱至上,2003,8.6,614619人评价
贫民窟的百万富翁,2008,8.6,645572人评价
东邪西毒,1994,8.6,499231人评价
九品芝麻官,1994,8.6,524597人评价
小偷家族,2018,8.7,704350人评价
绿里奇迹,1999,8.9,259570人评价
无敌破坏王,2012,8.7,451223人评价
爱在午夜降临前,2013,8.8,306142人评价
黑天鹅,2010,8.6,700081人评价
你看起来好像很好吃,2010,8.9,286872人评价
冰川时代,2002,8.6,528199人评价
萤火虫之墓,1988,8.7,361238人评价
疯狂的石头,2006,8.5,683814人评价
雨人,1988,8.7,350740人评价
恋恋笔记本,2004,8.6,559341人评价
恐怖游轮,2009,8.5,675818人评价
雨中曲,1952,9.1,177151人评价
魔女宅急便,1989,8.7,389360人评价
色，戒,2007,8.5,602372人评价
二十二,2015,8.7,257999人评价
2001太空漫游,1968,8.8,253536人评价
虎口脱险,1966,8.9,206629人评价
城市之光,1931,9.3,115747人评价
可可西里,2004,8.8,252160人评价
奇迹男孩,2017,8.6,484845人评价
人工智能,2001,8.7,373571人评价
海边的曼彻斯特,2016,8.6,412057人评价
初恋这件小事,2010,8.4,867155人评价
罗生门,1950,8.8,260686人评价
终结者2：审判日,1991,8.8,294231人评价
大佛普拉斯,2017,8.7,354649人评价
房间,2015,8.8,327396人评价
遗愿清单,2007,8.7,347678人评价
牯岭街少年杀人事件,1991,8.9,225484人评价
源代码,2011,8.5,698405人评价
青蛇,1993,8.6,439232人评价
新龙门客栈,1992,8.6,374433人评价
波西米亚狂想曲,2018,8.7,493796人评价
魂断蓝桥,1940,8.8,235162人评价
疯狂的麦克斯4：狂暴之路,2015,8.6,443411人评价
无间道2,2003,8.6,364751人评价
东京教父,2003,9.0,159961人评价
无耻混蛋,2009,8.6,402829人评价
步履不停,2008,8.8,230006人评价
血钻,2006,8.7,312750人评价
燃情岁月,1994,8.8,247818人评价
彗星来的那一夜,2013,8.5,451030人评价
战争之王,2005,8.7,303079人评价
海洋,2009,9.1,142523人评价
谍影重重2,2004,8.7,302113人评价
千钧一发,1997,8.8,229329人评价
穿越时空的少女,2006,8.6,333768人评价
阿飞正传,1990,8.5,424684人评价
黑客帝国2：重装上阵,2003,8.6,325723人评价
崖上的波妞,2008,8.6,396478人评价
地球上的星星,2007,8.9,177561人评价
谍影重重,2002,8.6,361690人评价
完美陌生人,2016,8.5,461235人评价
茶馆,1982,9.5,77341人评价
香水,2006,8.5,476146人评价
再次出发之纽约遇见你,2013,8.6,362366人评价
我爱你,2011,9.1,139794人评价
朗读者,2008,8.6,404541人评价
背靠背，脸对脸,1994,9.5,79391人评价
爱乐之城,2016,8.4,705600人评价
聚焦,2015,8.8,239443人评价
驴得水,2016,8.3,786933人评价
浪潮,2008,8.7,234000人评价
猜火车,1996,8.5,370275人评价
小萝莉的猴神大叔,2015,8.4,423753人评价
火星救援,2015,8.5,590422人评价
追随,1998,8.9,156164人评价
